"ID","GSM30361","GSM30362","GSM30363","GSM30364","GSM30365","GSM30366","GSM30367","GSM30368","GSM30369","GSM30370","GSM30371","GSM30372","GSM30373","GSM30374"
"219831_at",23.3,10.4,83.5,112.3,36,12.6,344.8,62.9,15,4.9,30.1,4.7,23.9,6.3
"219832_s_at",23.9,12.9,30.1,17.2,12.6,98.1,20.3,30.6,9.2,27.8,63.6,24.3,29.4,32.4
"219835_at",67.5,16.7,11.2,15.7,20.4,20.5,34.9,16.3,15.2,17.2,11.2,23.3,9.7,8.2
"219837_s_at",26.6,13.3,56.1,25.8,17.3,12.9,170.3,21.8,14.9,21.8,19.4,16.3,14,15.3
"219841_at",87.6,111,73.7,92.5,112.5,152.7,27.6,135.7,112.5,85.2,88.3,122.5,55.6,92.9
"219843_at",209.9,115.4,164.8,172.3,70.4,43.4,88.8,122.3,72.8,62.3,69.7,40.8,69.3,69.3
"219845_at",24.2,49.5,12.8,56.5,77.2,109.5,290.2,124.3,17.8,72.3,96.7,22.3,60,4.5
"219850_s_at",1.7,9.6,85.9,34.1,7,43.7,12.4,6.7,17.7,28.2,4.2,4.8,5.6,25.3
"219854_at",305.7,227.4,293,342.4,224.3,275.1,413.1,290.7,117,152.1,136.5,121.9,180.3,114.6
"219859_at",199.8,151.3,155.2,135.6,198.8,298.4,655,423.3,331.2,239,793,543.6,177.1,508.8
"219860_at",476.6,173.9,186.5,227.6,221.7,378.2,361.6,244.5,346.2,334.1,388.2,255.5,251,225.5
"219862_s_at",495.4,516.3,402.6,537.5,624.9,657.1,237.8,1539.6,749.3,747.4,1141.4,2113,764.6,2285.6
"219863_at",428,1538.6,411,493.7,468.4,1275.8,1046.8,793.3,270.9,699.6,424.2,355.8,191.5,228.6
"219864_s_at",175.4,80.5,200.6,122.9,116.5,63.1,18.6,38.3,105.6,41.3,22.7,13.2,9.8,41
"219866_at",96,36.9,51.3,45.4,29.3,164.3,124.7,211.7,54.3,41.1,101.5,225.5,18.6,64
"219878_s_at",18.7,14.9,10.6,17.3,20.3,38.5,89.9,28.3,22.8,9.7,14.3,30,5.3,17.8
"219883_at",123.8,122.5,157.6,112.3,226.4,399,570.3,198.3,232.3,166.2,129.7,162.8,176.1,99.5
"219884_at",92.4,31,42.7,32.6,36.7,13.2,32.5,28.5,11,128.6,68.4,123.8,82.4,27.4
"219888_at",23.7,92,117.9,104.5,114.4,43,36.5,77.9,123,169.7,96.4,119.6,88,185.8
"219889_at",467,443.3,646.4,605.3,559.5,818.3,926.4,899.9,930.9,675.3,1169.6,1469.2,664.4,1095.2
"219890_at",157.3,89.7,117.7,182.5,351.6,168.9,901.7,340.5,329.6,325.4,484.8,619.2,138,1322.9
"219892_at",251.8,368.9,418.2,552.1,283.9,360.5,414.4,382.9,436.9,317.5,931.5,585.7,374.5,936
"219894_at",13.6,11.4,13.7,36.8,4.1,127.2,126.9,97.4,33.4,10.9,10.4,12.6,4.3,15.2
"219896_at",71.1,33.9,18,47,23.1,51.6,42.6,151.8,101.9,23.7,41.3,145.1,41.1,78.8
"219898_at",21.3,5.5,36.9,142.4,9.1,28.6,39.1,69.3,32.5,6.6,46.5,47.2,3.4,36.2
"219899_x_at",46.2,16.5,20.2,25.6,46.9,27.1,18.7,23.1,26.7,91.9,20.6,38.3,15.9,26
"219902_at",60.1,48.3,19.5,80.7,53.5,199,49.2,49.5,38.2,42.7,139,22.4,17.4,26.7
"219903_s_at",29.1,11.9,8.8,8,9.3,100.5,395.9,18.9,8.7,11.4,20.6,7.2,27.6,30.5
"219907_at",313.1,197.7,222.2,181.5,281.9,390.7,456.2,343.5,209.4,195.7,192.5,386.6,205.4,194.5
"219908_at",59.4,40.7,19.1,53.5,58.8,33.6,13.9,53.2,10.8,22.1,17.8,68.4,13.9,16.2
"219909_at",22.6,27.5,42.5,24.5,25,20.7,20,6.7,25.8,65.6,55.5,14.5,27.9,28.9
"219910_at",337.3,283.8,316,286.4,375.2,315.1,518.1,337.9,315.1,332.7,209.9,407.4,188.2,272.8
"219911_s_at",61.9,19.8,74.6,11.7,32.3,170.8,35.8,193.1,73.1,118.8,111.9,33.9,102.4,242.8
"219912_s_at",27.4,72.9,24.3,29.4,50.8,40.7,71,59.5,35,39.7,16.2,85.7,38.5,31.8
"219914_at",48.1,19.6,26.2,54.7,28.2,37.3,69.7,32.7,37.9,41.2,39,67.6,24.8,27.5
"219916_s_at",251.1,150,188.3,169.4,239.2,67.1,207.7,212.6,210,211.4,193.1,228,142.2,197.8
"219920_s_at",236.4,253.4,164.8,164.1,483.9,384.6,569.9,430.4,277.1,457.6,500.2,222,149,341.1
"219922_s_at",410.2,203.3,424.8,437,126.5,160.1,33.5,115.4,257.4,154.8,87,79.8,143.7,65.4
"219928_s_at",123.9,160,133.6,138.2,114.5,111.6,358.2,285.8,134.2,112.1,156.8,106.5,127.6,111.3
"219930_at",28.4,52,54,17.5,67.5,35.6,103.9,175,37.1,44.7,15.1,28.3,12.9,19.9
"219931_s_at",112,178.8,222.9,109,162.2,82.9,38.7,45.9,193.2,283.6,154.4,499.8,178.1,214.8
"219932_at",12.5,4.4,22.1,8.5,122.7,11.9,23,12.4,9.9,74.9,8.2,20.8,26.8,6.9
"219934_s_at",68,68.2,77,98.6,18.4,34.7,148.9,120.8,84.4,79.3,98,112.1,71.5,70.9
"219935_at",59.9,51.2,89.3,136.6,99.6,16.7,9.1,127.9,69.1,58.5,52,34.1,50.8,71.6
"219936_s_at",115.5,63.8,86,99.9,135.3,142.9,248.8,121,80.4,101.3,64.7,83.9,77.3,68.9
"219937_at",3.8,15.5,9,35.2,43.7,11.1,87.7,112.6,8.2,28,53.5,5,41.2,35.9
"219938_s_at",419.9,541.9,464.9,444.1,550.1,551.9,938.9,1249,460.5,557.6,1847.9,1467.1,512.7,1938.3
"219939_s_at",2752.1,3202.5,3836.5,2840.5,2464.4,2096.9,664.5,1955.3,1144,1314.4,2208.9,1104.4,2500.4,1976.3
"219942_at",25.4,35.1,16.9,20.5,8.7,12,33.8,38.5,18.7,11.7,26.4,23.3,17.1,20.3
"219945_at",93.2,9.5,22.5,44.2,81.2,20.9,33.4,26,14.2,15.4,16.7,77.7,48.9,47.6
"219947_at",959.9,1030.3,1456.6,1473.3,1675.2,1412.9,2386.1,1617.2,1744,678.1,1143.4,2788.5,865.3,851.2
